epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2012,1.30896,3.03366,0.02343,0.29674,0.36685,0.22693,0.15643,1.14939,2.30878,0.02132,0.000550569,0.000550569,0.000550569
2,121.75,1.18645,1.78916,0.02015,0.41933,0.4276,0.39329,0.27573,1.22369,1.8558,0.02256,0.00109528,0.00109528,0.00109528
3,182.087,1.2256,1.61131,0.0201,0.55928,0.48866,0.48488,0.33856,1.22338,1.62278,0.02277,0.001629,0.001629,0.001629
4,234.911,1.17826,1.48374,0.0198,0.54491,0.51221,0.52091,0.36894,1.2137,1.66468,0.02245,0.00161749,0.00161749,0.00161749
5,286.405,1.1586,1.40018,0.01944,0.54404,0.55622,0.53316,0.39233,1.11605,1.39348,0.02027,0.00160099,0.00160099,0.00160099
6,336.714,1.14586,1.37625,0.01889,0.53118,0.52499,0.5183,0.38287,1.05885,1.54056,0.01956,0.00158448,0.00158448,0.00158448
7,392.156,1.12983,1.27044,0.01874,0.60356,0.5148,0.55025,0.404,1.0551,1.38574,0.01906,0.00156798,0.00156798,0.00156798
8,446.897,1.14731,1.26713,0.01875,0.5527,0.57578,0.56088,0.42719,1.00886,1.39972,0.01849,0.00155148,0.00155148,0.00155148
9,498.122,1.13829,1.21013,0.01857,0.66942,0.59977,0.64967,0.48193,1.08922,1.14681,0.01957,0.00153497,0.00153497,0.00153497
10,558.358,1.08816,1.16687,0.0182,0.6664,0.59879,0.63738,0.48856,1.011,1.12884,0.01759,0.00151847,0.00151847,0.00151847
11,614.846,1.09891,1.15362,0.01771,0.65881,0.55946,0.63023,0.48569,1.01001,1.16251,0.0178,0.00150197,0.00150197,0.00150197
12,672.617,1.10888,1.13491,0.01762,0.66595,0.59936,0.64821,0.50061,0.94278,1.11573,0.01626,0.00148546,0.00148546,0.00148546
13,725.206,1.07657,1.10411,0.01755,0.65496,0.5604,0.59459,0.45854,0.97827,1.1937,0.01706,0.00146896,0.00146896,0.00146896
14,779.58,1.09427,1.09753,0.01778,0.68659,0.58994,0.6596,0.52246,0.9569,1.25048,0.01627,0.00145246,0.00145246,0.00145246
15,833.232,1.07181,1.09026,0.01725,0.74607,0.59073,0.69064,0.53747,0.9544,1.02647,0.01639,0.00143595,0.00143595,0.00143595
16,887.909,1.07377,1.0719,0.0175,0.67617,0.6013,0.64992,0.51351,0.91441,1.07683,0.01543,0.00141945,0.00141945,0.00141945
17,941.053,1.05594,1.05676,0.01709,0.68915,0.61485,0.655,0.50321,1.01915,1.09029,0.01825,0.00140295,0.00140295,0.00140295
18,993.363,1.06683,1.03798,0.01759,0.70055,0.59675,0.64622,0.49532,0.99989,1.09734,0.01768,0.00138644,0.00138644,0.00138644
19,1042.65,1.04542,1.02706,0.01672,0.68463,0.62731,0.66812,0.53094,0.8722,1.02455,0.01479,0.00136994,0.00136994,0.00136994
20,1095.79,1.04957,1.00347,0.01664,0.69331,0.6298,0.69236,0.54162,0.97707,1.01007,0.01727,0.00135344,0.00135344,0.00135344
21,1142.13,1.03185,1.01796,0.01671,0.72871,0.6316,0.70606,0.55816,0.92198,0.97763,0.0154,0.00133693,0.00133693,0.00133693
22,1189.62,1.01388,1.00453,0.01612,0.77668,0.61498,0.71393,0.57425,0.89598,0.90242,0.01513,0.00132043,0.00132043,0.00132043
