epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.0529,1.14285,1.22341,1.10518,0.57681,0.5574,0.53715,0.38615,1.00746,1.22146,1.07698,0.000330275,0.000330275,0.0673028
2,183.864,1.04542,1.03265,1.06474,0.66208,0.57192,0.58886,0.42197,1.02332,1.03244,1.07838,0.000657039,0.000657039,0.0342962
3,271.477,1.0397,0.97726,1.04503,0.66024,0.59148,0.61569,0.44954,0.96201,0.99762,1.05972,0.000977202,0.000977202,0.00128301
4,362.691,0.99559,0.94916,1.04162,0.72328,0.56918,0.63534,0.4694,0.94711,0.94714,1.03781,0.0009703,0.0009703,0.0009703
5,448.983,0.95026,0.91084,1.02862,0.67362,0.55213,0.61241,0.45954,0.90244,1.0297,1.03169,0.0009604,0.0009604,0.0009604
6,536.33,0.95391,0.91043,1.02565,0.70038,0.59996,0.65941,0.4901,0.91701,0.93633,1.0302,0.0009505,0.0009505,0.0009505
7,622.118,0.90178,0.84977,1.0087,0.70051,0.56814,0.60402,0.45856,0.90365,1.01225,1.03381,0.0009406,0.0009406,0.0009406
8,710.669,0.90024,0.85613,1.00779,0.65208,0.63489,0.65918,0.5063,0.86033,0.96626,0.99022,0.0009307,0.0009307,0.0009307
9,795.784,0.89094,0.81564,1.00837,0.72424,0.63498,0.68435,0.53158,0.83005,0.81477,0.9874,0.0009208,0.0009208,0.0009208
10,882.652,0.8681,0.8171,1.00985,0.76454,0.64396,0.70166,0.54194,0.82964,0.78694,0.99187,0.0009109,0.0009109,0.0009109
11,972.468,0.86534,0.76511,0.99735,0.76405,0.64999,0.70167,0.54255,0.83446,0.78023,0.99959,0.000901,0.000901,0.000901
12,1058.3,0.86187,0.76036,0.99432,0.76892,0.6679,0.70797,0.55409,0.83528,0.74947,0.98439,0.0008911,0.0008911,0.0008911
13,1145.06,0.85057,0.75922,0.99807,0.76296,0.5854,0.67196,0.51832,0.85946,0.8552,1.01484,0.0008812,0.0008812,0.0008812
14,1233.88,0.83372,0.77644,0.9879,0.73018,0.66317,0.70236,0.54433,0.8245,0.74903,0.99264,0.0008713,0.0008713,0.0008713
15,1323.36,0.83605,0.7342,0.99149,0.76662,0.66214,0.71609,0.55197,0.83837,0.74097,0.98861,0.0008614,0.0008614,0.0008614
16,1414.92,0.83831,0.72764,0.99015,0.73371,0.63611,0.68916,0.54811,0.80038,0.85854,0.97123,0.0008515,0.0008515,0.0008515
17,1501.94,0.8031,0.71314,0.98344,0.77433,0.6623,0.70762,0.5562,0.80187,0.74721,0.98093,0.0008416,0.0008416,0.0008416
18,1586.68,0.79849,0.71241,0.9832,0.77711,0.64242,0.7057,0.55809,0.78217,0.77416,0.97571,0.0008317,0.0008317,0.0008317
19,1676.91,0.78569,0.69831,0.97568,0.74605,0.62317,0.6693,0.52301,0.78563,0.82276,0.97068,0.0008218,0.0008218,0.0008218
20,1768.07,0.79343,0.69744,0.97735,0.76286,0.64737,0.71608,0.56966,0.75437,0.74809,0.9591,0.0008119,0.0008119,0.0008119
21,1861.2,0.78406,0.67469,0.97815,0.83092,0.65794,0.73002,0.57634,0.75298,0.70592,0.95931,0.000802,0.000802,0.000802
22,1953.93,0.77435,0.70343,0.97726,0.78634,0.6554,0.72376,0.58458,0.75804,0.71707,0.96584,0.0007921,0.0007921,0.0007921
23,2048.84,0.76522,0.68754,0.97755,0.78166,0.64853,0.70821,0.57074,0.76358,0.75607,0.95946,0.0007822,0.0007822,0.0007822
24,2135.48,0.77253,0.65539,0.97534,0.81024,0.62225,0.7146,0.57163,0.75547,0.73817,0.95644,0.0007723,0.0007723,0.0007723
25,2224.53,0.75669,0.6541,0.974,0.75093,0.65394,0.69583,0.55517,0.76034,0.7081,0.95902,0.0007624,0.0007624,0.0007624
26,2315.7,0.7639,0.6712,0.96889,0.79128,0.66264,0.72574,0.57668,0.76521,0.7103,0.96309,0.0007525,0.0007525,0.0007525
27,2405.75,0.74456,0.64024,0.9663,0.81434,0.66922,0.74648,0.5864,0.78316,0.68309,0.96656,0.0007426,0.0007426,0.0007426
28,2497.01,0.76329,0.64121,0.97019,0.79475,0.6569,0.73687,0.58263,0.7502,0.70571,0.94617,0.0007327,0.0007327,0.0007327
29,2587.12,0.75966,0.6331,0.96535,0.8318,0.6394,0.72638,0.57998,0.74577,0.71493,0.9578,0.0007228,0.0007228,0.0007228
30,2681.59,0.7494,0.62597,0.96364,0.77234,0.66141,0.72816,0.57839,0.76886,0.74208,0.96283,0.0007129,0.0007129,0.0007129
31,2771.3,0.7463,0.62744,0.96183,0.7621,0.6596,0.71558,0.57483,0.74655,0.73445,0.95356,0.000703,0.000703,0.000703
32,2858.48,0.7432,0.62632,0.96291,0.74835,0.65787,0.71083,0.57434,0.73086,0.75855,0.94947,0.0006931,0.0006931,0.0006931
33,2945.36,0.73593,0.62001,0.95515,0.74987,0.65922,0.70829,0.56425,0.7404,0.71316,0.95566,0.0006832,0.0006832,0.0006832
34,3032.13,0.7294,0.61173,0.95828,0.84235,0.6356,0.73065,0.58683,0.74429,0.69911,0.96253,0.0006733,0.0006733,0.0006733
35,3118.7,0.72253,0.59591,0.9527,0.81832,0.6696,0.73228,0.58895,0.73675,0.69355,0.95718,0.0006634,0.0006634,0.0006634
36,3205.19,0.7269,0.59331,0.94881,0.83961,0.65828,0.73392,0.59461,0.73661,0.66875,0.95733,0.0006535,0.0006535,0.0006535
37,3290.06,0.71143,0.60185,0.9515,0.76946,0.67167,0.72321,0.5871,0.74406,0.74727,0.96067,0.0006436,0.0006436,0.0006436
